start_time,end_time,timespan,kind_of_data,range_of_data,attribute,all_data,training_data,test_data,accuracy,confusion_matrix,score_report
2021-10-10 16:18:29.608289,2021-10-10 16:18:29.655160,1d,"neg_count, neu_count, pos_count + end_price, trend",9,45,203,174,29,0.1724137931034483,"[[ 1  4  4]
 [ 2  4  2]
 [ 2 10  0]]","{'neg': {'precision': 0.2, 'recall': 0.1111111111111111, 'f1-score': 0.14285714285714285, 'support': 9}, 'neu': {'precision': 0.2222222222222222, 'recall': 0.5, 'f1-score': 0.30769230769230765, 'support': 8}, 'pos': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 12}, 'accuracy': 0.1724137931034483, 'macro avg': {'precision': 0.14074074074074075, 'recall': 0.20370370370370372, 'f1-score': 0.15018315018315018, 'support': 29}, 'weighted avg': {'precision': 0.12337164750957853, 'recall': 0.1724137931034483, 'f1-score': 0.12921561197423265, 'support': 29}}"
2021-10-10 16:18:29.702039,2021-10-10 16:18:29.758271,12h,"neg_count, neu_count, pos_count + end_price, trend",9,45,415,355,60,0.4333333333333333,"[[ 4 13  3]
 [ 5 12  2]
 [ 4  7 10]]","{'neg': {'precision': 0.3076923076923077, 'recall': 0.2, 'f1-score': 0.24242424242424246, 'support': 20}, 'neu': {'precision': 0.375, 'recall': 0.631578947368421, 'f1-score': 0.47058823529411764, 'support': 19}, 'pos': {'precision': 0.6666666666666666, 'recall': 0.47619047619047616, 'f1-score': 0.5555555555555556, 'support': 21}, 'accuracy': 0.43333333333333335, 'macro avg': {'precision': 0.4497863247863248, 'recall': 0.4359231411862991, 'f1-score': 0.4228560110913053, 'support': 60}, 'weighted avg': {'precision': 0.4546474358974359, 'recall': 0.43333333333333335, 'f1-score': 0.4242721330956626, 'support': 60}}"
2021-10-10 16:18:29.820782,2021-10-10 16:18:30.100611,4h,"neg_count, neu_count, pos_count + end_price, trend",9,45,1263,1082,181,0.4861878453038674,"[[19 27 11]
 [14 43 18]
 [ 6 17 26]]","{'neg': {'precision': 0.48717948717948717, 'recall': 0.3333333333333333, 'f1-score': 0.3958333333333333, 'support': 57}, 'neu': {'precision': 0.4942528735632184, 'recall': 0.5733333333333334, 'f1-score': 0.5308641975308641, 'support': 75}, 'pos': {'precision': 0.4727272727272727, 'recall': 0.5306122448979592, 'f1-score': 0.5, 'support': 49}, 'accuracy': 0.4861878453038674, 'macro avg': {'precision': 0.4847198778233261, 'recall': 0.47909297052154204, 'f1-score': 0.47556584362139914, 'support': 181}, 'weighted avg': {'precision': 0.48619797044258856, 'recall': 0.4861878453038674, 'f1-score': 0.4799851647227338, 'support': 181}}"
2021-10-10 16:18:30.147490,2021-10-10 16:18:33.246878,1h,"neg_count, neu_count, pos_count + end_price, trend",9,45,5040,4320,720,0.4722222222222222,"[[ 89 100  47]
 [ 36 145  76]
 [ 21 100 106]]","{'neg': {'precision': 0.6095890410958904, 'recall': 0.3771186440677966, 'f1-score': 0.4659685863874346, 'support': 236}, 'neu': {'precision': 0.42028985507246375, 'recall': 0.5642023346303502, 'f1-score': 0.48172757475083056, 'support': 257}, 'pos': {'precision': 0.462882096069869, 'recall': 0.4669603524229075, 'f1-score': 0.46491228070175444, 'support': 227}, 'accuracy': 0.4722222222222222, 'macro avg': {'precision': 0.4975869974127411, 'recall': 0.46942711037368473, 'f1-score': 0.47086948061333983, 'support': 720}, 'weighted avg': {'precision': 0.4957663086946022, 'recall': 0.4722222222222222, 'f1-score': 0.4712606400245782, 'support': 720}}"
2021-10-10 16:18:33.293758,2021-10-10 16:18:46.683787,30m,"neg_count, neu_count, pos_count + end_price, trend",9,45,10117,8671,1446,0.5594744121715076,"[[265 113  73]
 [132 252 139]
 [ 46 134 292]]","{'neg': {'precision': 0.5981941309255079, 'recall': 0.5875831485587583, 'f1-score': 0.5928411633109618, 'support': 451}, 'neu': {'precision': 0.5050100200400801, 'recall': 0.4818355640535373, 'f1-score': 0.49315068493150677, 'support': 523}, 'pos': {'precision': 0.5793650793650794, 'recall': 0.6186440677966102, 'f1-score': 0.5983606557377049, 'support': 472}, 'accuracy': 0.5594744121715076, 'macro avg': {'precision': 0.5608564101102225, 'recall': 0.5626875934696353, 'f1-score': 0.5614508346600579, 'support': 1446}, 'weighted avg': {'precision': 0.5583444750959083, 'recall': 0.5594744121715076, 'f1-score': 0.5585860320751166, 'support': 1446}}"
2021-10-10 16:18:46.746286,2021-10-10 16:19:46.478355,15m,"neg_count, neu_count, pos_count + end_price, trend",9,45,20272,17376,2896,0.5956491712707183,"[[592 220  93]
 [270 502 292]
 [ 79 217 631]]","{'neg': {'precision': 0.6291179596174282, 'recall': 0.6541436464088398, 'f1-score': 0.6413867822318526, 'support': 905}, 'neu': {'precision': 0.5346112886048988, 'recall': 0.4718045112781955, 'f1-score': 0.5012481278082876, 'support': 1064}, 'pos': {'precision': 0.6210629921259843, 'recall': 0.6806903991370011, 'f1-score': 0.6495110653628411, 'support': 927}, 'accuracy': 0.5956491712707183, 'macro avg': {'precision': 0.5949307467827705, 'recall': 0.6022128522746789, 'f1-score': 0.5973819918009938, 'support': 2896}, 'weighted avg': {'precision': 0.591817527013181, 'recall': 0.5956491712707183, 'f1-score': 0.5924999321475132, 'support': 2896}}"
2021-10-10 16:19:46.540860,2021-10-10 16:34:37.467135,5m,"neg_count, neu_count, pos_count + end_price, trend",9,45,60896,52196,8700,0.6358620689655172,"[[2191  354  222]
 [1054 1118  952]
 [ 199  387 2223]]","{'neg': {'precision': 0.6361788617886179, 'recall': 0.791832309360318, 'f1-score': 0.7055224601513443, 'support': 2767}, 'neu': {'precision': 0.6013986013986014, 'recall': 0.3578745198463508, 'f1-score': 0.44872566726871366, 'support': 3124}, 'pos': {'precision': 0.6544009420076539, 'recall': 0.7913848344606622, 'f1-score': 0.7164034805027393, 'support': 2809}, 'accuracy': 0.6358620689655172, 'macro avg': {'precision': 0.630659468398291, 'recall': 0.647030554555777, 'f1-score': 0.6235505359742658, 'support': 8700}, 'weighted avg': {'precision': 0.629573377866418, 'recall': 0.6358620689655172, 'f1-score': 0.6168249435078651, 'support': 8700}}"
2021-10-10 16:34:37.529640,2021-10-10 16:34:37.576509,1d,"neg_count, neu_count, pos_count + end_price, trend",10,50,202,173,29,0.3448275862068966,"[[3 5 2]
 [2 5 2]
 [1 7 2]]","{'neg': {'precision': 0.5, 'recall': 0.3, 'f1-score': 0.37499999999999994, 'support': 10}, 'neu': {'precision': 0.29411764705882354, 'recall': 0.5555555555555556, 'f1-score': 0.3846153846153846, 'support': 9}, 'pos': {'precision': 0.3333333333333333, 'recall': 0.2, 'f1-score': 0.25, 'support': 10}, 'accuracy': 0.3448275862068966, 'macro avg': {'precision': 0.3758169934640523, 'recall': 0.35185185185185186, 'f1-score': 0.3365384615384615, 'support': 29}, 'weighted avg': {'precision': 0.3786342123056119, 'recall': 0.3448275862068966, 'f1-score': 0.33488063660477446, 'support': 29}}"
2021-10-10 16:34:37.623390,2021-10-10 16:34:37.701340,12h,"neg_count, neu_count, pos_count + end_price, trend",10,50,414,354,60,0.55,"[[ 8  8  3]
 [ 5 16  2]
 [ 2  7  9]]","{'neg': {'precision': 0.5333333333333333, 'recall': 0.42105263157894735, 'f1-score': 0.47058823529411764, 'support': 19}, 'neu': {'precision': 0.5161290322580645, 'recall': 0.6956521739130435, 'f1-score': 0.5925925925925926, 'support': 23}, 'pos': {'precision': 0.6428571428571429, 'recall': 0.5, 'f1-score': 0.5625000000000001, 'support': 18}, 'accuracy': 0.55, 'macro avg': {'precision': 0.5641065028161801, 'recall': 0.5389016018306636, 'f1-score': 0.5418936092955701, 'support': 60}, 'weighted avg': {'precision': 0.5595954941116231, 'recall': 0.55, 'f1-score': 0.5449301016702978, 'support': 60}}"
2021-10-10 16:34:37.747369,2021-10-10 16:34:37.979330,4h,"neg_count, neu_count, pos_count + end_price, trend",10,50,1262,1081,181,0.4751381215469613,"[[16 27  8]
 [14 47 14]
 [15 17 23]]","{'neg': {'precision': 0.35555555555555557, 'recall': 0.3137254901960784, 'f1-score': 0.3333333333333333, 'support': 51}, 'neu': {'precision': 0.5164835164835165, 'recall': 0.6266666666666667, 'f1-score': 0.5662650602409638, 'support': 75}, 'pos': {'precision': 0.5111111111111111, 'recall': 0.41818181818181815, 'f1-score': 0.4599999999999999, 'support': 55}, 'accuracy': 0.47513812154696133, 'macro avg': {'precision': 0.461050061050061, 'recall': 0.45285799168152113, 'f1-score': 0.45319946452476567, 'support': 181}, 'weighted avg': {'precision': 0.46950667503153687, 'recall': 0.47513812154696133, 'f1-score': 0.46834187579045455, 'support': 181}}"
2021-10-10 16:34:38.026206,2021-10-10 16:34:41.143651,1h,"neg_count, neu_count, pos_count + end_price, trend",10,50,5035,4315,720,0.4805555555555555,"[[ 93  80  54]
 [ 39 153  63]
 [ 33 105 100]]","{'neg': {'precision': 0.5636363636363636, 'recall': 0.40969162995594716, 'f1-score': 0.4744897959183674, 'support': 227}, 'neu': {'precision': 0.4526627218934911, 'recall': 0.6, 'f1-score': 0.5160202360876898, 'support': 255}, 'pos': {'precision': 0.4608294930875576, 'recall': 0.42016806722689076, 'f1-score': 0.4395604395604395, 'support': 238}, 'accuracy': 0.48055555555555557, 'macro avg': {'precision': 0.4923761928724708, 'recall': 0.476619899060946, 'f1-score': 0.47669015718883223, 'support': 720}, 'weighted avg': {'precision': 0.49034981664324095, 'recall': 0.48055555555555557, 'f1-score': 0.4776524006822429, 'support': 720}}"
2021-10-10 16:34:41.206154,2021-10-10 16:34:54.667286,30m,"neg_count, neu_count, pos_count + end_price, trend",10,50,10112,8667,1445,0.5536332179930796,"[[254 136  72]
 [124 255 136]
 [ 49 128 291]]","{'neg': {'precision': 0.594847775175644, 'recall': 0.5497835497835498, 'f1-score': 0.5714285714285715, 'support': 462}, 'neu': {'precision': 0.4913294797687861, 'recall': 0.49514563106796117, 'f1-score': 0.49323017408123787, 'support': 515}, 'pos': {'precision': 0.5831663326653307, 'recall': 0.6217948717948718, 'f1-score': 0.6018614270941055, 'support': 468}, 'accuracy': 0.5536332179930796, 'macro avg': {'precision': 0.556447862536587, 'recall': 0.5555746842154609, 'f1-score': 0.555506724201305, 'support': 1445}, 'weighted avg': {'precision': 0.5541703791691676, 'recall': 0.5536332179930796, 'f1-score': 0.5534150086725806, 'support': 1445}}"
2021-10-10 16:34:54.729787,2021-10-10 16:35:57.411819,15m,"neg_count, neu_count, pos_count + end_price, trend",10,50,20267,17371,2896,0.5894337016574586,"[[586 254 111]
 [206 528 272]
 [102 244 593]]","{'neg': {'precision': 0.6554809843400448, 'recall': 0.6161934805467929, 'f1-score': 0.6352303523035231, 'support': 951}, 'neu': {'precision': 0.5146198830409356, 'recall': 0.5248508946322068, 'f1-score': 0.5196850393700788, 'support': 1006}, 'pos': {'precision': 0.6075819672131147, 'recall': 0.6315228966986155, 'f1-score': 0.6193211488250652, 'support': 939}, 'accuracy': 0.5894337016574586, 'macro avg': {'precision': 0.5925609448646983, 'recall': 0.5908557572925385, 'f1-score': 0.5914121801662223, 'support': 2896}, 'weighted avg': {'precision': 0.5910184688051376, 'recall': 0.5894337016574586, 'f1-score': 0.5899343140171568, 'support': 2896}}"
2021-10-10 16:35:57.474323,2021-10-10 16:51:56.973416,5m,"neg_count, neu_count, pos_count + end_price, trend",10,50,60891,52192,8699,0.6358202092194505,"[[2123  442  245]
 [ 962 1266  865]
 [ 233  421 2142]]","{'neg': {'precision': 0.6398432790837855, 'recall': 0.7555160142348755, 'f1-score': 0.6928851174934727, 'support': 2810}, 'neu': {'precision': 0.5946453734147487, 'recall': 0.4093113482056256, 'f1-score': 0.48487169666794333, 'support': 3093}, 'pos': {'precision': 0.6586715867158671, 'recall': 0.7660944206008584, 'f1-score': 0.7083333333333334, 'support': 2796}, 'accuracy': 0.6358202092194505, 'macro avg': {'precision': 0.631053413071467, 'recall': 0.6436405943471198, 'f1-score': 0.6286967158315832, 'support': 8699}, 'weighted avg': {'precision': 0.6298245212846095, 'recall': 0.6358202092194505, 'f1-score': 0.623889566381263, 'support': 8699}}"
2021-10-10 16:51:57.051548,2021-10-10 16:51:57.067168,1d,"com_ave, tweet_count + end_price, trend",1,4,211,180,31,0.4193548387096774,"[[6 4 0]
 [2 5 2]
 [4 6 2]]","{'neg': {'precision': 0.5, 'recall': 0.6, 'f1-score': 0.5454545454545454, 'support': 10}, 'neu': {'precision': 0.3333333333333333, 'recall': 0.5555555555555556, 'f1-score': 0.4166666666666667, 'support': 9}, 'pos': {'precision': 0.5, 'recall': 0.16666666666666666, 'f1-score': 0.25, 'support': 12}, 'accuracy': 0.41935483870967744, 'macro avg': {'precision': 0.4444444444444444, 'recall': 0.4407407407407407, 'f1-score': 0.40404040404040403, 'support': 31}, 'weighted avg': {'precision': 0.45161290322580644, 'recall': 0.41935483870967744, 'f1-score': 0.3936950146627566, 'support': 31}}"
2021-10-10 16:51:57.114051,2021-10-10 16:51:57.168511,12h,"com_ave, tweet_count + end_price, trend",1,4,423,362,61,0.3442622950819672,"[[ 3 11  4]
 [ 2 15  5]
 [ 5 13  3]]","{'neg': {'precision': 0.3, 'recall': 0.16666666666666666, 'f1-score': 0.21428571428571427, 'support': 18}, 'neu': {'precision': 0.38461538461538464, 'recall': 0.6818181818181818, 'f1-score': 0.4918032786885246, 'support': 22}, 'pos': {'precision': 0.25, 'recall': 0.14285714285714285, 'f1-score': 0.18181818181818182, 'support': 21}, 'accuracy': 0.3442622950819672, 'macro avg': {'precision': 0.31153846153846154, 'recall': 0.3304473304473304, 'f1-score': 0.2959690582641403, 'support': 61}, 'weighted avg': {'precision': 0.31330390920554857, 'recall': 0.3442622950819672, 'f1-score': 0.3031966689585609, 'support': 61}}"
2021-10-10 16:51:57.218510,2021-10-10 16:51:57.401736,4h,"com_ave, tweet_count + end_price, trend",1,4,1271,1089,182,0.3681318681318681,"[[ 6 34 12]
 [ 6 50 19]
 [ 8 36 11]]","{'neg': {'precision': 0.3, 'recall': 0.11538461538461539, 'f1-score': 0.16666666666666669, 'support': 52}, 'neu': {'precision': 0.4166666666666667, 'recall': 0.6666666666666666, 'f1-score': 0.5128205128205129, 'support': 75}, 'pos': {'precision': 0.2619047619047619, 'recall': 0.2, 'f1-score': 0.22680412371134023, 'support': 55}, 'accuracy': 0.36813186813186816, 'macro avg': {'precision': 0.3261904761904762, 'recall': 0.32735042735042735, 'f1-score': 0.30209710106617327, 'support': 182}, 'weighted avg': {'precision': 0.33656462585034014, 'recall': 0.36813186813186816, 'f1-score': 0.32748588973807063, 'support': 182}}"
2021-10-10 16:51:57.450734,2021-10-10 16:51:59.967421,1h,"com_ave, tweet_count + end_price, trend",1,4,5080,4354,726,0.3884297520661157,"[[ 54 125  32]
 [ 47 181  24]
 [ 82 134  47]]","{'neg': {'precision': 0.29508196721311475, 'recall': 0.2559241706161137, 'f1-score': 0.27411167512690354, 'support': 211}, 'neu': {'precision': 0.4113636363636364, 'recall': 0.7182539682539683, 'f1-score': 0.5231213872832371, 'support': 252}, 'pos': {'precision': 0.4563106796116505, 'recall': 0.17870722433460076, 'f1-score': 0.2568306010928962, 'support': 263}, 'accuracy': 0.3884297520661157, 'macro avg': {'precision': 0.3875854277294672, 'recall': 0.38429512106822755, 'f1-score': 0.35135455450101233, 'support': 726}, 'weighted avg': {'precision': 0.3938507440543631, 'recall': 0.3884297520661157, 'f1-score': 0.3542845745655428, 'support': 726}}"
2021-10-10 16:52:00.014298,2021-10-10 16:52:10.244682,30m,"com_ave, tweet_count + end_price, trend",1,4,10157,8706,1451,0.3790489317711922,"[[ 81 213 142]
 [ 89 351  96]
 [114 247 118]]","{'neg': {'precision': 0.2852112676056338, 'recall': 0.18577981651376146, 'f1-score': 0.225, 'support': 436}, 'neu': {'precision': 0.43279901356350187, 'recall': 0.6548507462686567, 'f1-score': 0.5211581291759465, 'support': 536}, 'pos': {'precision': 0.33146067415730335, 'recall': 0.24634655532359082, 'f1-score': 0.28263473053892213, 'support': 479}, 'accuracy': 0.37904893177119225, 'macro avg': {'precision': 0.34982365177547964, 'recall': 0.36232570603533637, 'f1-score': 0.34293095323828954, 'support': 1451}, 'weighted avg': {'precision': 0.3549979647604698, 'recall': 0.37904893177119225, 'f1-score': 0.3534271489775679, 'support': 1451}}"
2021-10-10 16:52:10.291566,2021-10-10 16:52:48.167283,15m,"com_ave, tweet_count + end_price, trend",1,4,20312,17410,2902,0.3880082701585113,"[[205 511 217]
 [154 733 161]
 [231 502 188]]","{'neg': {'precision': 0.3474576271186441, 'recall': 0.21972132904608788, 'f1-score': 0.2692055154300722, 'support': 933}, 'neu': {'precision': 0.4198167239404353, 'recall': 0.6994274809160306, 'f1-score': 0.5246957766642806, 'support': 1048}, 'pos': {'precision': 0.3321554770318021, 'recall': 0.20412595005428882, 'f1-score': 0.2528581035642233, 'support': 921}, 'accuracy': 0.38800827015851136, 'macro avg': {'precision': 0.36647660936362714, 'recall': 0.37442492000546906, 'f1-score': 0.3489197985528587, 'support': 2902}, 'weighted avg': {'precision': 0.36873228364492106, 'recall': 0.38800827015851136, 'f1-score': 0.35628264411546284, 'support': 2902}}"
2021-10-10 16:52:48.229784,2021-10-10 16:57:50.064928,5m,"com_ave, tweet_count + end_price, trend",1,4,60936,52230,8706,0.3734206294509534,"[[ 878 1375  493]
 [ 757 1851  486]
 [ 833 1511  522]]","{'neg': {'precision': 0.3557536466774716, 'recall': 0.3197378004369993, 'f1-score': 0.3367855772919064, 'support': 2746}, 'neu': {'precision': 0.3907536415452818, 'recall': 0.5982546864899806, 'f1-score': 0.4727365598263312, 'support': 3094}, 'pos': {'precision': 0.34776815456362425, 'recall': 0.18213538032100487, 'f1-score': 0.23906572017403246, 'support': 2866}, 'accuracy': 0.3734206294509534, 'macro avg': {'precision': 0.36475848092879254, 'recall': 0.3667092890826616, 'f1-score': 0.34952928576409, 'support': 8706}, 'weighted avg': {'precision': 0.3655633829194563, 'recall': 0.3734206294509534, 'f1-score': 0.35293159491902376, 'support': 8706}}"
2021-10-10 16:57:50.127439,2021-10-10 16:57:50.158679,1d,"com_ave, tweet_count + end_price, trend",2,8,210,180,30,0.5333333333333333,"[[6 1 1]
 [4 4 2]
 [2 4 6]]","{'neg': {'precision': 0.5, 'recall': 0.75, 'f1-score': 0.6, 'support': 8}, 'neu': {'precision': 0.4444444444444444, 'recall': 0.4, 'f1-score': 0.4210526315789474, 'support': 10}, 'pos': {'precision': 0.6666666666666666, 'recall': 0.5, 'f1-score': 0.5714285714285715, 'support': 12}, 'accuracy': 0.5333333333333333, 'macro avg': {'precision': 0.5370370370370371, 'recall': 0.5499999999999999, 'f1-score': 0.530827067669173, 'support': 30}, 'weighted avg': {'precision': 0.548148148148148, 'recall': 0.5333333333333333, 'f1-score': 0.528922305764411, 'support': 30}}"
