start_time,end_time,timespan,kind_of_data,range_of_data,attribute,all_data,training_data,test_data,accuracy,confusion_matrix,score_report
2021-10-10 17:15:15.516597,2021-10-10 17:15:15.563476,12h,"com_ave, tweet_count + end_price, trend",4,16,420,360,60,0.3666666666666666,"[[ 5  3  7]
 [ 4  5 21]
 [ 2  1 12]]","{'neg': {'precision': 0.45454545454545453, 'recall': 0.3333333333333333, 'f1-score': 0.3846153846153846, 'support': 15}, 'neu': {'precision': 0.5555555555555556, 'recall': 0.16666666666666666, 'f1-score': 0.2564102564102564, 'support': 30}, 'pos': {'precision': 0.3, 'recall': 0.8, 'f1-score': 0.4363636363636363, 'support': 15}, 'accuracy': 0.36666666666666664, 'macro avg': {'precision': 0.43670033670033676, 'recall': 0.43333333333333335, 'f1-score': 0.3591297591297591, 'support': 60}, 'weighted avg': {'precision': 0.4664141414141414, 'recall': 0.36666666666666664, 'f1-score': 0.3334498834498834, 'support': 60}}"
2021-10-10 17:15:15.610352,2021-10-10 17:15:15.782214,4h,"com_ave, tweet_count + end_price, trend",4,16,1268,1086,182,0.5384615384615384,"[[18 11 11]
 [20 45 31]
 [ 3  8 35]]","{'neg': {'precision': 0.43902439024390244, 'recall': 0.45, 'f1-score': 0.4444444444444445, 'support': 40}, 'neu': {'precision': 0.703125, 'recall': 0.46875, 'f1-score': 0.5625, 'support': 96}, 'pos': {'precision': 0.45454545454545453, 'recall': 0.7608695652173914, 'f1-score': 0.5691056910569106, 'support': 46}, 'accuracy': 0.5384615384615384, 'macro avg': {'precision': 0.5322316149297857, 'recall': 0.5598731884057971, 'f1-score': 0.5253500451671184, 'support': 182}, 'weighted avg': {'precision': 0.5822531127409176, 'recall': 0.5384615384615384, 'f1-score': 0.5382232943208553, 'support': 182}}"
2021-10-10 17:15:15.829097,2021-10-10 17:15:18.344731,1h,"com_ave, tweet_count + end_price, trend",4,16,5065,4341,724,0.4406077348066298,"[[113  18  31]
 [151  45 170]
 [ 17  18 161]]","{'neg': {'precision': 0.40213523131672596, 'recall': 0.6975308641975309, 'f1-score': 0.510158013544018, 'support': 162}, 'neu': {'precision': 0.5555555555555556, 'recall': 0.12295081967213115, 'f1-score': 0.20134228187919465, 'support': 366}, 'pos': {'precision': 0.4447513812154696, 'recall': 0.8214285714285714, 'f1-score': 0.5770609318996416, 'support': 196}, 'accuracy': 0.44060773480662985, 'macro avg': {'precision': 0.467480722695917, 'recall': 0.5473034184327444, 'f1-score': 0.42952040910761813, 'support': 724}, 'weighted avg': {'precision': 0.49122998829402625, 'recall': 0.44060773480662985, 'f1-score': 0.37215582322409657, 'support': 724}}"
2021-10-10 17:15:18.391598,2021-10-10 17:15:29.063464,30m,"com_ave, tweet_count + end_price, trend",4,16,10142,8693,1449,0.4492753623188406,"[[267   8  68]
 [340  55 340]
 [ 34   8 329]]","{'neg': {'precision': 0.4165366614664587, 'recall': 0.7784256559766763, 'f1-score': 0.5426829268292683, 'support': 343}, 'neu': {'precision': 0.7746478873239436, 'recall': 0.07482993197278912, 'f1-score': 0.13647642679900746, 'support': 735}, 'pos': {'precision': 0.44640434192673, 'recall': 0.8867924528301887, 'f1-score': 0.5938628158844765, 'support': 371}, 'accuracy': 0.4492753623188406, 'macro avg': {'precision': 0.5458629635723774, 'recall': 0.5800160135932181, 'f1-score': 0.4243407231709175, 'support': 1449}, 'weighted avg': {'precision': 0.6058345637825472, 'recall': 0.4492753623188406, 'f1-score': 0.3497401810164599, 'support': 1449}}"
2021-10-10 17:15:29.110347,2021-10-10 17:16:08.641565,15m,"com_ave, tweet_count + end_price, trend",4,16,20297,17397,2900,0.4779310344827586,"[[623   5  83]
 [546  46 844]
 [ 26  10 717]]","{'neg': {'precision': 0.5213389121338912, 'recall': 0.8762306610407876, 'f1-score': 0.6537250786988458, 'support': 711}, 'neu': {'precision': 0.7540983606557377, 'recall': 0.03203342618384401, 'f1-score': 0.061456245824983304, 'support': 1436}, 'pos': {'precision': 0.43613138686131386, 'recall': 0.952191235059761, 'f1-score': 0.5982478097622027, 'support': 753}, 'accuracy': 0.47793103448275864, 'macro avg': {'precision': 0.5705228865503142, 'recall': 0.6201517740947975, 'f1-score': 0.43780971142867725, 'support': 2900}, 'weighted avg': {'precision': 0.6144703954260019, 'recall': 0.47793103448275864, 'f1-score': 0.34604493127948066, 'support': 2900}}"
2021-10-10 17:16:08.704065,2021-10-10 17:23:33.594715,5m,"com_ave, tweet_count + end_price, trend",4,16,60921,52218,8703,0.5004021601746524,"[[2127    6   90]
 [1978   49 2191]
 [  80    3 2179]]","{'neg': {'precision': 0.5082437275985663, 'recall': 0.9568151147098516, 'f1-score': 0.6638576779026217, 'support': 2223}, 'neu': {'precision': 0.8448275862068966, 'recall': 0.011616880037932669, 'f1-score': 0.022918615528531337, 'support': 4218}, 'pos': {'precision': 0.48856502242152466, 'recall': 0.9633068081343943, 'f1-score': 0.648318952692651, 'support': 2262}, 'accuracy': 0.5004021601746524, 'macro avg': {'precision': 0.6138787787423291, 'recall': 0.6439129342940596, 'f1-score': 0.4450317487079347, 'support': 8703}, 'weighted avg': {'precision': 0.6662579163265301, 'recall': 0.5004021601746524, 'f1-score': 0.3491811799687062, 'support': 8703}}"
2021-10-10 17:23:33.657225,2021-10-10 17:23:33.688467,1d,"com_ave, tweet_count + end_price, trend",5,20,207,177,30,0.2333333333333333,"[[ 2  2  3]
 [ 0  0 12]
 [ 1  5  5]]","{'neg': {'precision': 0.6666666666666666, 'recall': 0.2857142857142857, 'f1-score': 0.4, 'support': 7}, 'neu': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 12}, 'pos': {'precision': 0.25, 'recall': 0.45454545454545453, 'f1-score': 0.3225806451612903, 'support': 11}, 'accuracy': 0.23333333333333334, 'macro avg': {'precision': 0.3055555555555555, 'recall': 0.24675324675324672, 'f1-score': 0.24086021505376345, 'support': 30}, 'weighted avg': {'precision': 0.2472222222222222, 'recall': 0.23333333333333334, 'f1-score': 0.21161290322580645, 'support': 30}}"
2021-10-10 17:23:33.735350,2021-10-10 17:23:33.782219,12h,"com_ave, tweet_count + end_price, trend",5,20,419,359,60,0.3833333333333333,"[[ 4  4  7]
 [ 3  8 19]
 [ 2  2 11]]","{'neg': {'precision': 0.4444444444444444, 'recall': 0.26666666666666666, 'f1-score': 0.33333333333333337, 'support': 15}, 'neu': {'precision': 0.5714285714285714, 'recall': 0.26666666666666666, 'f1-score': 0.36363636363636365, 'support': 30}, 'pos': {'precision': 0.2972972972972973, 'recall': 0.7333333333333333, 'f1-score': 0.42307692307692313, 'support': 15}, 'accuracy': 0.38333333333333336, 'macro avg': {'precision': 0.43772343772343775, 'recall': 0.4222222222222222, 'f1-score': 0.3733488733488734, 'support': 60}, 'weighted avg': {'precision': 0.47114972114972115, 'recall': 0.38333333333333336, 'f1-score': 0.3709207459207459, 'support': 60}}"
2021-10-10 17:23:33.829107,2021-10-10 17:23:34.016590,4h,"com_ave, tweet_count + end_price, trend",5,20,1267,1086,181,0.43646408839779,"[[22  9  8]
 [33 33 30]
 [12 10 24]]","{'neg': {'precision': 0.3283582089552239, 'recall': 0.5641025641025641, 'f1-score': 0.4150943396226415, 'support': 39}, 'neu': {'precision': 0.6346153846153846, 'recall': 0.34375, 'f1-score': 0.4459459459459459, 'support': 96}, 'pos': {'precision': 0.3870967741935484, 'recall': 0.5217391304347826, 'f1-score': 0.4444444444444444, 'support': 46}, 'accuracy': 0.43646408839779005, 'macro avg': {'precision': 0.45002345592138565, 'recall': 0.4765305648457822, 'f1-score': 0.4351615766710106, 'support': 181}, 'weighted avg': {'precision': 0.5057209872112369, 'recall': 0.43646408839779005, 'f1-score': 0.438916765196344, 'support': 181}}"
2021-10-10 17:23:34.063472,2021-10-10 17:23:36.719716,1h,"com_ave, tweet_count + end_price, trend",5,20,5060,4337,723,0.4412171507607192,"[[101  23  37]
 [124  70 172]
 [ 26  22 148]]","{'neg': {'precision': 0.40239043824701193, 'recall': 0.6273291925465838, 'f1-score': 0.49029126213592233, 'support': 161}, 'neu': {'precision': 0.6086956521739131, 'recall': 0.1912568306010929, 'f1-score': 0.2910602910602911, 'support': 366}, 'pos': {'precision': 0.41456582633053224, 'recall': 0.7551020408163265, 'f1-score': 0.5352622061482821, 'support': 196}, 'accuracy': 0.4412171507607192, 'macro avg': {'precision': 0.47521730558381914, 'recall': 0.5245626879880011, 'f1-score': 0.4388712531148318, 'support': 723}, 'weighted avg': {'precision': 0.5101277610154985, 'recall': 0.4412171507607192, 'f1-score': 0.40162704306640845, 'support': 723}}"
